web_url,funcionario,foto_img,cargo_generico,cargo_ocupado,ministerio,foto_url
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-6-de-la-agencia-cordoba-turismo/,Raúl Ahumada,,Vocal del Directorio de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-del-directorio-de-la-agencia-cordoba-turismo/,Fabricio Sebastián Díaz,,Vocal del Directorio de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/sindico-titular-de-la-agencia-cordoba-turismo/,Héctor Dante Colombo,,Síndico Titular de la Agencia Córdoba Turismo,Síndico Titular de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-2-de-la-agencia-cordoba-turismo/,Marcela Flachs,"[{'checksum': '62b2db257067f6f205a669ba7ad98a5d', 'path': 'full/1a9cea7f0cf94a72925ac6c334d69c8a424aef6b.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Marcela-Flach.jpg'}]",Vocal del Directorio de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Marcela-Flach.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-1-de-la-agencia-cordoba-turismo/,Gabriel Raies,"[{'checksum': '82f7157c46d19bf725e787224f74a3dc', 'path': 'full/8c93a95810780c0b940bef9369f9b161338b25bb.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Gabriel-Raies.jpg'}]",Vocal del Directorio de la Agencia Córdoba Turismo,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Gabriel-Raies.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/direccion-general-de-administracion-y-legales/,Elena Noemí Maule,,Dirección General de Administracion y Legales,Director General de Administracion y Legales,Presidente de la Agencia Córdoba Joven,
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-2/,Edgar Bruno,"[{'checksum': '73da731f1acc1a1495a60be6dabe4ff1', 'path': 'full/837995e64e3de6281aa56f831a7e541f3b64fe51.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Edgar-Bruno1.jpg'}]",Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven ,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Edgar-Bruno1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-4/,Valeria Butteler,"[{'checksum': '021f4fee6f7e8e9fde0206c01f410669', 'path': 'full/fe5b801d3ade8905a25459087b2ab6c46c6eb692.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Valeria-Butteler1.jpg'}]",Vocal Agencia Córdoba Joven ,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Valeria-Butteler1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-5/, Matias Anconetani,"[{'checksum': 'f544e0d9eb7aa45b74d34196df994048', 'path': 'full/fb902ac4888ee92fb45732b64ab6fe1697c1e4c1.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Matias-Anconetani1.jpg'}]",Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Matias-Anconetani1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-1/,Leandro Martín Carpintero,"[{'checksum': 'fe0513616827a8e96ff095caad17e532', 'path': 'full/a57b776a1fb9393b3db7800964cfea95b708a0fc.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_LEANDRO-CARPINTERO-retoc.jpg'}]",Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_LEANDRO-CARPINTERO-retoc.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-6/,Marcelo Ferro,"[{'checksum': '5c642eca62362c83f897857cdd6dc9c5', 'path': 'full/0ab943d06a754b18818ec7001fb6d4dac6989849.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Marcelo-Ferro1.jpg'}]",Vocal Agencia Córdoba Joven ,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Marcelo-Ferro1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven/,Jonatan Palomeque Farfán,"[{'checksum': '0a5ca949df2bacecea2fd2f1575a9bdf', 'path': 'full/3655b000dd58f1e22a64e8951083265ffe80cb99.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_JONATAN-PALOMEQUE-FARFAN-retoc.jpg'}]",Vocal Agencia Córdoba Joven,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_JONATAN-PALOMEQUE-FARFAN-retoc.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/direccion-de-promocion-y-eventos/,Luis Muñoz,"[{'checksum': '0b14946928719d6a20ef2eb4dce4f66e', 'path': 'full/86a668cf61ecbc9e77d60cff787b6fe07fcb125f.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/Luis-Mu%C3%B1oz1.jpg'}]",Dirección de Promoción y Eventos,Director de Promoción y Eventos,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/Luis-Muñoz1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-3/,Amira Ramadán,,Vocal de Directorio,Vocal,Presidente de la Agencia Córdoba Deportes,
http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/sindico-titular/,Mario Jorge López Amaya,,Síndico Titular,Síndico Titular,Presidente de la Agencia Córdoba Deportes,
http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-2/,Georgina Bardach,"[{'checksum': '8096bdce69cf43ccf472c9673740f880', 'path': 'full/e5e635f680d6f9e6996ca4c644724f621ae9a4ea.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Georgina_Bardach1.jpg'}]",Vocal de Directorio ,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Georgina_Bardach1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-11/,Silvio Tranquilli,"[{'checksum': '4a262ff8ad6c05cf264c5439cc71afda', 'path': 'full/99c6a3fa5a6956f5601be32375ec6a3728429e10.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Silvio_Tranquilli1.jpg'}]", Vocal de Directorio  ,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Silvio_Tranquilli1.jpg
http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-8/,Oscar Dertycia,"[{'checksum': 'd1b6ec2f8e0cb6f41d1c254ee688d9c3', 'path': 'full/5b7519eec0cbcb68890ffd2f95a6c4c912431c5d.jpg', 'url': 'http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Oscar_Dertycia1.jpg'}]",Vocal de Directorio ,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Oscar_Dertycia1.jpg
