funcionario,cargo,ministerio,url,foto
Carlos Dalmiro Paz,Subdirector de Promoción Social y de la Salud,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-relaciones-institucionales-ministerio-de-educacion/direccion-general-de-programas-especiales-ministerio-de-educacion/subdireccion-de-jurisdiccion-promocion-social-y-de-la-salud/,
Marcelo Fita,Subdirector de Participación de la Comunidad,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-relaciones-institucionales-ministerio-de-educacion/direccion-general-de-programas-especiales-ministerio-de-educacion/subdireccion-de-participacion-de-la-comunidad/,
Rosana Zárate,Subdirectora de Programas Especiales,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/secretaria-de-relaciones-institucionales-ministerio-de-educacion/direccion-general-de-programas-especiales-ministerio-de-educacion/subdireccion-de-programas-especiales/,
Carlos Ricardo Giovannoni,Director General de Infraestructura Escolar,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/direccion-general-de-infraestructura-escolar/,http://www.cba.gov.ar/wp-content/4p96humuzp/2015/12/Carlos-Giovannoni.jpg
José Antonio Papa,Subdirector de Programas Especiales e Infraestructura,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/direccion-general-de-infraestructura-escolar/subdireccion-de-programas-especiales-e-infraestructura/,
Alfredo Oscar Colazo,Director General de Asuntos Legales ,Ministro de Educación,http://www.cba.gov.ar/reparticion/ministerio-de-educacion/direccion-de-jurisdiccion-de-coordinacion-de-asuntos-legales/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/12/Alfredo-Colasso.jpg
Marcela Flachs,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-2-de-la-agencia-cordoba-turismo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Marcela-Flach.jpg
Gabriel Raies,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-1-de-la-agencia-cordoba-turismo/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Gabriel-Raies.jpg
Ramón Graneros,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-3-de-la-agencia-cordoba-turismo/,
Sergio Spicogna,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-4-de-la-agencia-cordoba-turismo/,
Raúl Ahumada,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-6-de-la-agencia-cordoba-turismo/,
Fabricio Sebastián Díaz,Vocal del Directorio de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/vocal-del-directorio-de-la-agencia-cordoba-turismo/,
Héctor Dante Colombo,Síndico Titular de la Agencia Córdoba Turismo,Presidente de la Agencia Córdoba Turismo,http://www.cba.gov.ar/reparticion/agencia-cordoba-turismo/sindico-titular-de-la-agencia-cordoba-turismo/,
Edgar Bruno,Vocal Agencia Córdoba Joven ,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-2/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Edgar-Bruno1.jpg
Valeria Butteler,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-4/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Valeria-Butteler1.jpg
 Matias Anconetani,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-5/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Matias-Anconetani1.jpg
Leandro Martín Carpintero,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-1/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_LEANDRO-CARPINTERO-retoc.jpg
Marcelo Ferro,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven-6/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/Marcelo-Ferro1.jpg
Jonatan Palomeque Farfán,Vocal Agencia Córdoba Joven,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/vocal-agencia-cordoba-joven/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/01/thumbnail_JONATAN-PALOMEQUE-FARFAN-retoc.jpg
Luis Muñoz,Director de Promoción y Eventos,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/direccion-de-promocion-y-eventos/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/07/Luis-Muñoz1.jpg
Elena Noemí Maule,Director General de Administracion y Legales,Presidente de la Agencia Córdoba Joven,http://www.cba.gov.ar/reparticion/agencia-cordoba-joven/direccion-general-de-administracion-y-legales/,
Georgina Bardach,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-2/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Georgina_Bardach1.jpg
Silvio Tranquilli,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-11/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Silvio_Tranquilli1.jpg
Oscar Dertycia,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-8/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Oscar_Dertycia1.jpg
Mariano Reutemann,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-9/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Mariano_Reutemann1.jpg
Jorge Pratolongo,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-5/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Jorge_Pratolongo1.jpg
Juan Domingo Viola,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-10/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Juan_Domingo_Viola1.jpg
Jorge Cattaneo,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-4/,http://www.cba.gov.ar/wp-content/4p96humuzp/2012/06/Jorge_Cattaneo1.jpg
Mariano Schiaretti,Vocal de Directorio,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio/,http://www.cba.gov.ar/wp-content/4p96humuzp/2016/02/Mariano_Schiaretti.jpg
Amira Ramadán,Vocal,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/vocal-de-directorio-3/,
Mario Jorge López Amaya,Síndico Titular,Presidente de la Agencia Córdoba Deportes,http://www.cba.gov.ar/reparticion/agencia-cordoba-deportes/sindico-titular/,
Jorge Álvarez,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-1-directorio-cultura/,
Nora Cingolani,Vocal del Directorio de la Agencia Córdoba Cultura,Presidente de la Agencia Córdoba Cultura,http://www.cba.gov.ar/reparticion/agencia-cordoba-cultura/vocal-del-directorio-de-cultura/,http://www.cba.gov.ar/wp-content/4p96humuzp/2014/08/Nora-Cingolani-vocal.jpg
