funcionario,cargo,ministerio,url
Carlos Mariano Lorenzo,Director General de Promoción Territorial,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Luis Leonardo Limia,Subsecretario de Participación Comunitaria,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Marcos Darsie,Director General Banco de la Gente,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Silvio Rodolfo Conturso,Director General de Administración,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Gerardo Cámara,Director General de Asuntos Legales,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Alfredo Altamirano,Director de la Unidad Ejecutora del Programa de Desarrollo del Norte y Oeste Cordobés,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Débora Mariano,Directora de la Unidad Ejecutora del Plan Por la Flia,Secretaria de Equidad y Promoción del Empleo,http://www.cba.gov.ar/reparticion/secretaria-de-equidad-y-promocion-del-empleo/
Gustavo Zamudio,Secretario de Prensa,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
 César Eduardo Jaimez,Director General de Prensa,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Soledad Baldacci,Subsecretaria de Contenidos Digitales,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
Carlos Alejandro Arzú,Subsecretario de Difusión,Secretario de Comunicaciones y Conectividad,http://www.cba.gov.ar/reparticion/secretaria-de-comunicaciones-y-conectividad/
