ministerio,cargo,funcionario,url
Ministro de Gobierno,Secretario de Seguridad,Diego Hak,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Subsecretario de Gestión Administrativa,Sebastián Roberto Serrano,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
Ministro de Gobierno,Subsecretario de Tecnología de Información y Comunicaciones,Daniel Alejandro Pastorino,http://www.cba.gov.ar/reparticion/ministerio-de-gobierno/
"Ministro de Industria, Comercio y Minería",Director General de Control de la Industria Alimenticia,Federico Ezequiel Priotti,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería","Ministro de Industria, Comercio y Minería",Roberto Avalle,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería",Secretario de Comercio,Víctor Roberto Lutri,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería",Secretario de Industria,Pablo Javier De Chiara,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería",Secretario de Minería,Aldo Antonio Bonalumi,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería",Secretario de Promoción de Inversiones,Hugo Bonansea,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería",Subsecretario de Administración y Asuntos Legales,Ramiro Oscar Herrera,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería",Subsecretario de Cooperativas y Mutuales,Abraham Galo,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
"Ministro de Industria, Comercio y Minería",Subsecretario de Pequeña y Mediana Empresa,Tomás Agustín Grunhaut,http://www.cba.gov.ar/reparticion/ministerio-de-industria-comercio-y-mineria/
